t_s,rate_sp,rate_sp_eff,rate_med,u_pid,stick,gpitch,err,P,I,D,sat
0.095,0.0,0.0,-1.054,0.579,0.0,-13.7,1.054,0.417,0.162,0.0,0
0.195,0.0,0.0,0.0,-0.091,115.0,-13.7,0.0,0.0,0.162,-0.253,0
0.297,0.0,0.0,0.0,0.162,-72.0,-13.7,0.0,0.0,0.162,-0.0,0
0.388,0.0,0.0,0.0,0.162,80.8,-13.7,0.0,0.0,0.162,-0.0,0
0.491,0.0,0.0,0.0,0.162,80.8,-13.7,0.0,0.0,0.162,-0.0,0
0.593,0.0,0.0,0.0,0.162,80.8,-13.7,0.0,0.0,0.162,-0.0,0
0.695,0.0,0.0,0.0,0.162,80.8,-13.7,0.0,0.0,0.162,-0.0,0
0.787,0.0,0.0,0.0,0.162,80.8,-13.7,0.0,0.0,0.162,-0.0,0
0.891,0.0,0.0,0.962,-0.603,80.8,-13.6,-0.962,-0.38,0.0,-0.223,0
0.991,0.0,0.0,0.0,0.232,-116.6,-13.6,0.0,0.0,0.0,0.232,0
1.093,0.0,0.0,0.0,0.0,88.0,-13.6,0.0,0.0,0.0,-0.0,0
1.195,0.0,0.0,0.0,0.0,0.0,-13.6,0.0,0.0,0.0,-0.0,0
1.287,0.0,0.0,0.0,0.0,0.0,-13.6,0.0,0.0,0.0,-0.0,0
1.389,0.0,0.0,0.0,0.0,0.0,-13.6,0.0,0.0,0.0,-0.0,0
1.491,0.0,0.0,0.0,0.0,0.0,-13.6,0.0,0.0,0.0,-0.0,0
1.593,0.0,0.0,0.0,0.0,0.0,-13.6,0.0,0.0,0.0,-0.0,0
1.695,0.0,0.0,0.0,0.0,0.0,-13.6,0.0,0.0,0.0,-0.0,0
1.796,0.0,0.0,0.0,0.0,0.0,-13.6,0.0,0.0,0.0,-0.0,0
1.99,0.0,0.0,0.0,0.0,0.0,-13.6,0.0,0.0,0.0,-0.0,0
2.092,10.0,10.0,0.0,5.603,0.0,-13.6,10.0,3.953,1.651,-0.0,0
2.194,10.0,10.0,0.0,7.255,296.3,-13.6,10.0,3.953,3.302,-0.0,0
2.392,10.0,10.0,3.043,7.901,336.6,-13.0,6.957,2.75,5.524,-0.372,0
2.491,10.0,10.0,5.009,7.828,351.3,-12.5,4.991,1.973,6.33,-0.475,0
2.592,10.0,10.0,6.966,7.554,349.7,-11.8,3.034,1.199,6.824,-0.47,0
2.796,10.0,10.0,7.344,8.708,343.5,-10.3,2.656,1.05,7.703,-0.045,0
2.888,10.0,10.0,7.659,8.892,369.0,-9.6,2.341,0.925,8.049,-0.083,0
2.992,10.0,10.0,7.689,9.345,372.9,-8.8,2.311,0.913,8.439,-0.007,0
3.092,10.0,10.0,8.992,8.687,382.5,-7.9,1.008,0.398,8.602,-0.314,0
3.193,10.0,10.0,7.865,10.065,368.5,-7.1,2.135,0.844,8.954,0.267,0
3.295,10.0,10.0,8.835,9.376,397.3,-6.2,1.165,0.46,9.146,-0.23,0
3.387,10.0,10.0,9.766,9.029,383.2,-5.3,0.234,0.092,9.181,-0.244,0
3.491,10.0,10.0,9.683,9.378,375.9,-4.3,0.317,0.125,9.234,0.019,0
3.592,10.0,10.0,8.86,10.067,383.2,-3.4,1.14,0.451,9.421,0.196,0
3.694,10.0,10.0,8.879,10.043,397.4,-2.5,1.121,0.443,9.605,-0.005,0
3.796,10.0,10.0,9.784,9.513,396.9,-1.5,0.216,0.085,9.641,-0.213,0
3.888,10.0,10.0,9.804,9.742,386.0,-0.6,0.196,0.077,9.67,-0.005,0
3.99,10.0,10.0,8.821,10.563,390.7,0.3,1.179,0.466,9.865,0.232,0
4.092,10.0,10.0,9.811,9.736,407.3,1.3,0.189,0.075,9.896,-0.234,0
4.197,10.0,10.0,9.464,10.278,390.6,2.3,0.536,0.212,9.987,0.079,0
4.296,10.0,10.0,10.111,9.769,401.6,3.3,-0.111,-0.044,9.97,-0.158,0
4.388,10.0,10.0,10.915,9.261,391.3,4.3,-0.915,-0.361,9.834,-0.212,0
4.491,10.0,10.0,9.722,10.27,380.7,5.3,0.278,0.11,9.88,0.28,0
4.592,10.0,10.0,8.906,10.686,401.4,6.2,1.094,0.432,10.059,0.195,0
4.694,10.0,10.0,9.805,9.956,409.7,7.2,0.195,0.077,10.092,-0.213,0
4.797,10.0,10.0,9.707,10.28,395.1,8.2,0.293,0.116,10.141,0.023,0
4.898,10.0,10.0,9.893,10.156,401.6,9.2,0.107,0.042,10.158,-0.045,0
4.991,10.0,10.0,10.773,9.508,399.1,10.2,-0.773,-0.306,10.042,-0.229,0
5.092,10.0,10.0,10.843,9.554,385.9,11.3,-0.843,-0.333,9.903,-0.017,0
5.194,10.0,10.0,9.808,10.256,386.8,12.3,0.192,0.076,9.935,0.245,0
5.296,10.0,10.0,9.777,10.067,401.2,13.3,0.223,0.088,9.972,0.007,0
5.388,10.0,10.0,10.872,9.211,397.3,14.3,-0.872,-0.345,9.842,-0.287,0
5.491,10.0,10.0,9.766,10.234,379.7,15.3,0.234,0.092,9.881,0.26,0
5.592,10.0,10.0,8.843,10.748,400.7,16.2,1.157,0.457,10.072,0.219,0
5.697,10.0,10.0,9.605,10.118,410.9,17.2,0.395,0.156,10.138,-0.177,0
5.796,10.0,10.0,10.033,10.016,398.4,18.2,-0.033,-0.013,10.133,-0.104,0
5.889,10.0,10.0,11.924,8.59,396.3,19.3,-1.924,-0.761,9.845,-0.494,0
5.991,10.0,10.0,9.776,10.478,366.5,20.3,0.224,0.089,9.882,0.507,0
6.092,-10.0,-10.0,8.855,-0.455,405.6,21.2,-18.855,-7.453,6.779,0.218,0
6.194,-10.0,-10.0,9.808,-4.545,-106.4,22.2,-19.808,-7.829,3.509,-0.225,0
6.297,-10.0,-10.0,7.832,-6.021,-267.8,23.0,-17.832,-7.048,0.56,0.467,0
6.492,-10.0,-10.0,0.512,-6.012,-306.9,23.1,-10.512,-4.155,-2.762,0.905,0
6.595,-10.0,-10.0,-3.884,-5.17,-306.7,22.7,-6.116,-2.418,-3.782,1.029,0
6.695,-10.0,-10.0,-5.001,-6.297,-284.9,22.2,-4.999,-1.976,-4.591,0.27,0
6.796,-10.0,-10.0,-5.9,-6.674,-313.7,21.6,-4.1,-1.621,-5.266,0.213,0
6.898,-10.0,-10.0,-5.888,-7.573,-322.9,21.0,-4.112,-1.625,-5.945,-0.003,0
6.99,-10.0,-10.0,-5.438,-8.545,-343.9,20.5,-4.562,-1.803,-6.624,-0.118,0
7.092,-10.0,-10.0,-6.873,-8.036,-365.5,19.8,-3.127,-1.236,-7.139,0.34,0
7.296,-10.0,-10.0,-7.337,-9.018,-354.3,18.3,-2.663,-1.052,-8.021,0.055,0
7.388,-10.0,-10.0,-8.71,-8.362,-375.6,17.5,-1.29,-0.51,-8.213,0.36,0
7.491,-10.0,-10.0,-7.784,-9.674,-361.5,16.7,-2.216,-0.876,-8.581,-0.217,0
7.592,-10.0,-10.0,-7.904,-9.725,-389.3,15.9,-2.096,-0.828,-8.925,0.029,0
7.694,-10.0,-10.0,-8.819,-9.371,-390.4,15.0,-1.181,-0.467,-9.12,0.216,0
7.796,-10.0,-10.0,-8.823,-9.779,-383.0,14.1,-1.177,-0.465,-9.315,0.001,0
7.898,-10.0,-10.0,-8.824,-9.973,-391.5,13.2,-1.176,-0.465,-9.509,0.0,0
7.991,-10.0,-10.0,-10.786,-8.57,-395.4,12.2,0.786,0.311,-9.391,0.51,0
8.092,-10.0,-10.0,-9.896,-9.662,-366.0,11.2,-0.104,-0.041,-9.408,-0.212,0
8.199,-10.0,-10.0,-8.458,-10.609,-389.1,10.3,-1.542,-0.609,-9.673,-0.326,0
8.291,-10.0,-10.0,-10.836,-8.596,-408.2,9.3,0.836,0.331,-9.548,0.622,0
8.393,-10.0,-10.0,-8.806,-10.697,-366.6,8.4,-1.194,-0.472,-9.746,-0.479,0
8.495,-10.0,-10.0,-9.803,-9.621,-409.9,7.4,-0.197,-0.078,-9.779,0.236,0
8.598,-10.0,-10.0,-8.76,-10.72,-388.2,6.5,-1.24,-0.49,-9.985,-0.245,0
8.692,-10.0,-10.0,-10.635,-9.156,-410.4,5.5,0.635,0.251,-9.888,0.481,0
8.803,-10.0,-10.0,-9.006,-10.814,-378.5,4.5,-0.994,-0.393,-10.067,-0.354,0
8.893,-10.0,-10.0,-11.084,-8.924,-412.2,3.5,1.084,0.429,-9.909,0.556,0
8.995,-10.0,-10.0,-9.818,-10.31,-373.6,2.5,-0.182,-0.072,-9.939,-0.3,0
9.097,-10.0,-10.0,-9.785,-10.067,-402.3,1.5,-0.215,-0.085,-9.974,-0.008,0
9.199,-10.0,-10.0,-9.815,-10.071,-397.3,0.5,-0.185,-0.073,-10.005,0.007,0
9.302,-10.0,-10.0,-8.758,-10.951,-397.4,-0.4,-1.242,-0.491,-10.211,-0.248,0
9.393,-10.0,-10.0,-10.919,-9.143,-414.9,-1.4,0.919,0.363,-10.075,0.569,0
9.495,-10.0,-10.0,-9.798,-10.453,-378.3,-2.4,-0.202,-0.08,-10.109,-0.265,0
9.597,-10.0,-10.0,-9.811,-10.211,-405.1,-3.4,-0.189,-0.075,-10.14,0.003,0
9.7,-10.0,-10.0,-9.753,-10.292,-400.3,-4.4,-0.247,-0.098,-10.181,-0.014,0
9.802,-10.0,-10.0,-9.801,-10.281,-401.9,-5.4,-0.199,-0.079,-10.214,0.011,0
9.894,-10.0,-10.0,-11.93,-8.606,-401.7,-6.5,1.93,0.763,-9.926,0.557,0
9.995,-10.0,-10.0,-9.887,-10.476,-366.8,-7.5,-0.113,-0.045,-9.944,-0.487,0
10.108,20.0,20.0,-8.895,6.524,-405.6,-8.5,28.895,11.421,-4.684,-0.213,0
10.195,20.0,20.0,-10.266,11.952,319.3,-9.4,30.266,11.963,-0.388,0.377,0
10.292,20.0,20.0,-8.253,14.713,434.2,-10.2,28.253,11.167,4.047,-0.501,0
10.393,20.0,20.0,-1.981,14.83,484.0,-10.4,21.981,8.688,7.64,-1.498,0
10.597,20.0,20.0,7.345,15.725,486.0,-8.9,12.655,5.002,11.825,-1.102,0
10.699,20.0,20.0,12.736,14.622,501.3,-7.6,7.264,2.871,13.025,-1.274,0
10.802,20.0,20.0,13.664,16.362,482.4,-6.2,6.336,2.504,14.076,-0.218,0
10.995,20.0,20.0,15.519,17.019,511.9,-3.2,4.481,1.771,15.479,-0.231,0
11.098,20.0,20.0,14.604,18.724,522.7,-1.7,5.396,2.133,16.376,0.215,0
11.2,20.0,20.0,15.714,18.514,549.9,-0.1,4.286,1.694,17.083,-0.263,0
11.293,20.0,20.0,17.15,18.269,546.6,1.5,2.85,1.126,17.514,-0.371,0
11.397,20.0,20.0,17.271,19.025,542.8,3.3,2.729,1.079,17.974,-0.028,0
11.496,20.0,20.0,18.152,18.787,554.6,5.1,1.848,0.73,18.271,-0.214,0
11.593,20.0,20.0,18.645,18.895,550.9,6.9,1.355,0.535,18.483,-0.123,0
11.694,20.0,20.0,18.813,19.106,552.6,8.8,1.187,0.469,18.677,-0.04,0
11.794,20.0,20.0,19.058,19.142,555.9,10.7,0.942,0.372,18.829,-0.059,0
11.894,20.0,20.0,17.924,20.26,556.5,12.5,2.076,0.821,19.167,0.272,0
11.995,20.0,20.0,18.804,19.625,573.6,14.4,1.196,0.473,19.362,-0.21,0
12.087,20.0,20.0,21.756,17.633,563.9,16.4,-1.756,-0.694,19.101,-0.774,0
12.194,20.0,20.0,17.85,21.207,532.6,18.3,2.15,0.85,19.472,0.885,0
12.295,20.0,20.0,19.708,19.193,587.8,20.3,0.292,0.115,19.52,-0.442,0
12.394,20.0,20.0,19.175,20.108,557.3,22.2,0.825,0.326,19.652,0.13,0
12.497,20.0,20.0,19.497,19.859,571.3,24.2,0.503,0.199,19.736,-0.076,0
12.595,20.0,20.0,19.394,20.097,567.5,26.1,0.606,0.24,19.832,0.025,0
12.692,20.0,20.0,20.553,19.239,571.1,28.1,-0.553,-0.219,19.745,-0.287,0
12.795,20.0,20.0,19.447,20.314,558.0,30.1,0.553,0.218,19.837,0.259,0
12.899,20.0,20.0,19.189,20.354,574.4,32.1,0.811,0.32,19.973,0.06,0
12.996,20.0,20.0,20.547,19.334,575.0,34.1,-0.547,-0.216,19.887,-0.337,0
13.097,20.0,20.0,19.945,20.063,559.4,36.1,0.055,0.022,19.896,0.145,0
13.194,20.0,20.0,20.615,19.39,570.6,38.1,-0.615,-0.243,19.8,-0.167,0
13.293,20.0,20.0,19.156,20.623,560.3,40.0,0.844,0.334,19.935,0.355,0
13.397,-20.0,-20.0,19.252,-2.204,579.1,42.0,-39.252,-15.514,13.332,-0.022,0
13.496,-20.0,-20.0,20.054,-9.161,-192.4,44.0,-40.054,-15.831,6.864,-0.194,0
13.588,-20.0,-20.0,18.562,-13.704,-378.7,45.7,-38.562,-15.242,1.145,0.393,0
13.701,-20.0,-20.0,8.878,-13.462,-466.3,46.7,-28.878,-11.414,-4.122,2.074,0
13.898,-20.0,-20.0,-4.047,-13.956,-461.9,45.9,-15.953,-6.305,-9.228,1.577,0
13.987,-20.0,-20.0,-11.271,-11.968,-470.7,44.9,-8.729,-3.45,-10.482,1.964,0
14.094,-20.0,-20.0,-12.212,-14.689,-434.5,43.6,-7.788,-3.078,-11.824,0.213,0
14.293,-20.0,-20.0,-13.033,-16.729,-483.6,41.0,-6.967,-2.754,-14.075,0.099,0
14.397,-20.0,-20.0,-12.502,-18.424,-518.0,39.7,-7.498,-2.964,-15.337,-0.123,0
14.487,-20.0,-20.0,-15.541,-16.937,-545.2,38.3,-4.459,-1.763,-15.988,0.814,0
14.597,-20.0,-20.0,-13.701,-20.0,-521.4,36.8,-6.299,-2.49,-17.105,-0.405,0
14.693,-20.0,-20.0,-16.643,-18.216,-569.7,35.2,-3.357,-1.327,-17.627,0.738,0
14.793,-20.0,-20.0,-16.979,-19.23,-541.9,33.5,-3.021,-1.194,-18.117,0.081,0
14.897,-20.0,-20.0,-18.213,-18.84,-557.8,31.6,-1.787,-0.706,-18.419,0.285,0
14.987,-20.0,-20.0,-20.092,-17.864,-551.8,29.8,0.092,0.036,-18.406,0.506,0
15.099,-20.0,-20.0,-16.867,-20.906,-536.3,27.9,-3.133,-1.238,-18.977,-0.69,0
15.197,-20.0,-20.0,-19.505,-18.598,-583.4,26.0,-0.495,-0.196,-19.055,0.653,0
15.296,-20.0,-20.0,-19.196,-19.578,-548.0,24.1,-0.804,-0.318,-19.184,-0.075,0
15.398,-20.0,-20.0,-18.607,-20.104,-563.2,22.2,-1.393,-0.551,-19.415,-0.139,0
15.489,-20.0,-20.0,-20.903,-18.315,-571.3,20.3,0.903,0.357,-19.282,0.609,0
15.593,-20.0,-20.0,-19.184,-20.14,-543.5,18.3,-0.816,-0.322,-19.419,-0.398,0
15.697,-20.0,-20.0,-18.239,-20.631,-571.8,16.4,-1.761,-0.696,-19.716,-0.219,0
15.795,-20.0,-20.0,-19.459,-19.715,-579.2,14.5,-0.541,-0.214,-19.802,0.301,0
15.898,-20.0,-20.0,-19.444,-20.118,-565.3,12.5,-0.556,-0.22,-19.895,-0.003,0
15.988,-20.0,-20.0,-22.11,-18.041,-571.5,10.5,2.11,0.834,-19.586,0.711,0
16.092,-20.0,-20.0,-19.19,-20.718,-539.2,8.5,-0.81,-0.32,-19.722,-0.676,0
16.194,-20.0,-20.0,-18.737,-20.537,-580.5,6.6,-1.263,-0.499,-19.93,-0.108,0
16.297,-20.0,-20.0,-19.436,-20.082,-577.8,4.6,-0.564,-0.223,-20.024,0.164,0
16.387,-20.0,-20.0,-21.035,-19.036,-570.9,2.7,1.035,0.409,-19.872,0.427,0
16.49,-20.0,-20.0,-19.478,-20.531,-554.8,0.7,-0.522,-0.206,-19.959,-0.366,0
16.591,-20.0,-20.0,-18.725,-20.851,-577.7,-1.2,-1.275,-0.504,-20.168,-0.179,0
16.693,-20.0,-20.0,-19.676,-20.124,-582.5,-3.2,-0.324,-0.128,-20.222,0.226,0
16.795,5.0,5.0,-19.555,-6.478,-571.6,-5.2,24.555,9.706,-16.155,-0.029,0
16.887,5.0,5.0,-21.702,-1.054,-318.2,-7.2,26.702,10.554,-12.171,0.562,0
16.989,5.0,5.0,-18.603,0.33,-142.4,-9.1,23.603,9.329,-8.267,-0.732,0
17.195,5.0,5.0,-10.727,2.246,96.7,-11.3,15.727,6.216,-3.044,-0.926,0
17.295,5.0,5.0,-3.974,0.347,194.0,-11.7,8.974,3.547,-1.581,-1.618,0
17.387,5.0,5.0,-1.088,0.973,98.2,-11.8,6.088,2.406,-0.676,-0.757,0
17.491,5.0,5.0,0.0,1.889,138.2,-11.8,5.0,1.976,0.165,-0.253,0
17.598,5.0,5.0,0.937,2.261,180.1,-11.7,4.063,1.606,0.867,-0.212,0
17.699,5.0,5.0,0.991,3.095,194.6,-11.6,4.009,1.585,1.523,-0.013,0
17.787,5.0,5.0,2.267,2.644,223.8,-11.4,2.733,1.08,1.913,-0.349,0
17.889,5.0,5.0,1.957,3.693,208.5,-11.2,3.043,1.203,2.417,0.073,0
17.991,5.0,5.0,2.929,3.35,242.8,-10.9,2.071,0.819,2.76,-0.229,0
18.094,5.0,5.0,1.948,4.705,232.1,-10.7,3.052,1.206,3.268,0.23,0
18.198,5.0,5.0,3.853,3.471,272.3,-10.3,1.147,0.453,3.461,-0.443,0
18.298,5.0,5.0,3.001,4.779,236.0,-10.0,1.999,0.79,3.784,0.205,0
18.388,5.0,5.0,4.423,3.717,274.3,-9.6,0.577,0.228,3.869,-0.379,0
18.491,5.0,5.0,3.913,4.598,243.6,-9.2,1.087,0.43,4.048,0.12,0
18.592,5.0,5.0,3.93,4.644,269.3,-8.8,1.07,0.423,4.225,-0.004,0
18.696,5.0,5.0,3.863,4.88,270.6,-8.4,1.137,0.449,4.415,0.015,0
18.798,5.0,5.0,3.929,5.0,277.1,-8.0,1.071,0.423,4.592,-0.016,0
18.888,5.0,5.0,5.54,3.869,280.3,-7.5,-0.54,-0.213,4.513,-0.43,0
18.99,5.0,5.0,4.911,4.712,248.2,-7.0,0.089,0.035,4.528,0.149,0
19.092,5.0,5.0,3.913,5.373,272.5,-6.6,1.087,0.43,4.708,0.236,0
19.195,5.0,5.0,4.846,4.576,290.3,-6.1,0.154,0.061,4.733,-0.218,0
19.302,5.0,5.0,3.732,5.705,268.7,-5.7,1.268,0.501,4.953,0.251,0
19.388,5.0,5.0,5.815,3.933,298.9,-5.2,-0.815,-0.322,4.84,-0.584,0
19.491,5.0,5.0,4.875,5.131,250.1,-4.7,0.125,0.049,4.861,0.221,0
19.592,5.0,5.0,4.921,4.894,283.9,-4.2,0.079,0.031,4.874,-0.011,0
19.695,5.0,5.0,4.897,4.937,277.5,-3.7,0.103,0.041,4.891,0.005,0
19.798,5.0,5.0,3.852,5.78,278.6,-3.3,1.148,0.454,5.084,0.243,0
19.888,5.0,5.0,5.562,4.321,300.8,-2.8,-0.562,-0.222,5.002,-0.459,0
19.991,5.0,5.0,4.877,5.232,261.5,-2.3,0.123,0.049,5.022,0.161,0
20.093,5.0,5.0,4.915,5.061,286.6,-1.8,0.085,0.034,5.036,-0.009,0
20.194,5.0,5.0,4.907,5.09,282.0,-1.3,0.093,0.037,5.052,0.002,0
20.298,5.0,5.0,4.83,5.165,282.8,-0.8,0.17,0.067,5.08,0.018,0
20.388,5.0,5.0,5.525,4.611,284.8,-0.3,-0.525,-0.208,5.003,-0.185,0
20.492,5.0,5.0,4.846,5.249,269.7,0.2,0.154,0.061,5.029,0.159,0
20.594,5.0,5.0,4.907,5.067,287.0,0.7,0.093,0.037,5.045,-0.014,0
20.698,5.0,5.0,4.772,5.204,282.2,1.2,0.228,0.09,5.083,0.031,0
20.891,-5.0,-5.0,5.178,-2.173,285.8,2.2,-10.178,-4.023,1.9,-0.051,0
20.993,-5.0,-5.0,4.906,-3.585,-191.3,2.7,-9.906,-3.915,0.265,0.064,0
21.095,-5.0,-5.0,3.925,-4.503,-239.5,3.1,-8.925,-3.528,-1.207,0.232,0
21.187,-5.0,-5.0,2.176,-4.653,-266.6,3.3,-7.176,-2.836,-2.275,0.459,0
21.29,-5.0,-5.0,0.0,-4.567,-270.8,3.3,-5.0,-1.976,-3.104,0.513,0
21.391,-5.0,-5.0,-2.958,-3.542,-268.4,3.0,-2.042,-0.807,-3.439,0.704,0
21.493,-5.0,-5.0,-3.92,-3.817,-238.2,2.6,-1.08,-0.427,-3.617,0.227,0
21.595,-5.0,-5.0,-2.945,-5.0,-246.6,2.3,-2.055,-0.812,-3.956,-0.231,0
21.687,-5.0,-5.0,-4.327,-3.963,-280.3,1.9,-0.673,-0.266,-4.057,0.361,0
21.789,-5.0,-5.0,-3.937,-4.745,-251.0,1.5,-1.063,-0.42,-4.232,-0.093,0
21.892,-5.0,-5.0,-4.863,-4.092,-273.4,1.0,-0.137,-0.054,-4.255,0.217,0
21.994,-5.0,-5.0,-3.914,-5.088,-254.8,0.6,-1.086,-0.429,-4.435,-0.224,0
22.105,-5.0,-5.0,-3.618,-5.293,-282.7,0.2,-1.382,-0.546,-4.682,-0.065,0
22.188,-5.0,-5.0,-4.798,-4.448,-288.2,-0.2,-0.202,-0.08,-4.71,0.341,0
22.29,-5.0,-5.0,-3.918,-5.524,-265.1,-0.6,-1.082,-0.428,-4.888,-0.208,0
22.392,-5.0,-5.0,-4.897,-4.715,-294.2,-1.1,-0.103,-0.041,-4.905,0.231,0
22.494,-5.0,-5.0,-4.918,-4.947,-272.6,-1.6,-0.082,-0.033,-4.919,0.005,0
22.596,-5.0,-5.0,-4.883,-4.993,-278.9,-2.1,-0.117,-0.046,-4.939,-0.008,0
22.688,-5.0,-5.0,-5.455,-4.541,-280.2,-2.6,0.455,0.18,-4.871,0.151,0
22.79,-5.0,-5.0,-4.891,-5.065,-267.7,-3.1,-0.109,-0.043,-4.889,-0.133,0
22.892,-5.0,-5.0,-4.884,-4.956,-282.1,-3.6,-0.116,-0.046,-4.908,-0.002,0
22.994,-5.0,-5.0,-4.914,-4.95,-279.2,-4.1,-0.086,-0.034,-4.922,0.007,0
23.097,-5.0,-5.0,-4.878,-4.999,-279.0,-4.6,-0.122,-0.048,-4.943,-0.008,0
23.188,-5.0,-5.0,-5.475,-4.527,-280.3,-5.1,0.475,0.188,-4.872,0.158,0
23.29,-5.0,-5.0,-4.907,-5.059,-267.3,-5.6,-0.093,-0.037,-4.888,-0.135,0
23.393,-5.0,-5.0,-3.864,-5.77,-282.0,-6.0,-1.136,-0.449,-5.078,-0.243,0
23.494,-5.0,-5.0,-4.954,-4.843,-300.6,-6.5,-0.046,-0.018,-5.086,0.26,0
23.597,-5.0,-5.0,-4.892,-5.161,-276.1,-7.0,-0.108,-0.043,-5.103,-0.015,0
23.689,-5.0,-5.0,-6.521,-3.849,-284.7,-7.6,1.521,0.601,-4.877,0.427,0
23.805,-5.0,-5.0,-4.297,-5.748,-247.6,-8.1,-0.703,-0.278,-5.009,-0.461,0
23.892,-5.0,-5.0,-5.711,-4.238,-300.0,-8.6,0.711,0.281,-4.909,0.39,0
23.994,-5.0,-5.0,-3.927,-5.932,-259.0,-9.0,-1.073,-0.424,-5.086,-0.423,0
24.097,-5.0,-5.0,-4.868,-4.939,-304.7,-9.5,-0.132,-0.052,-5.107,0.221,0
24.189,-5.0,-5.0,-5.455,-4.705,-278.7,-10.0,0.455,0.18,-5.04,0.155,0
24.291,-5.0,-5.0,-4.893,-5.233,-272.3,-10.5,-0.107,-0.042,-5.058,-0.133,0
24.393,-5.0,-5.0,-4.921,-5.096,-286.6,-11.0,-0.079,-0.031,-5.071,0.007,0
24.597,-5.0,-5.0,-4.899,-5.146,-282.9,-12.0,-0.101,-0.04,-5.104,-0.002,0
24.689,-5.0,-5.0,-5.429,-4.732,-284.3,-12.5,0.429,0.169,-5.04,0.139,0
24.793,0.0,0.0,-4.807,-2.475,-273.0,-13.0,4.807,1.9,-4.23,-0.144,0
24.895,0.0,0.0,-4.906,-1.458,-202.5,-13.5,4.906,1.939,-3.421,0.023,0
24.997,0.0,0.0,-3.922,-1.456,-161.8,-13.9,3.922,1.55,-2.773,-0.233,0
25.089,0.0,0.0,-3.258,-1.173,-161.7,-14.2,3.258,1.288,-2.287,-0.174,0
25.192,0.0,0.0,-1.946,-1.502,-148.4,-14.4,1.946,0.769,-1.963,-0.308,0
25.294,0.0,0.0,-1.952,-0.867,-163.8,-14.6,1.952,0.772,-1.64,0.002,0
25.396,0.0,0.0,-0.983,-1.319,-132.4,-14.7,0.983,0.389,-1.478,-0.23,0
25.488,0.0,0.0,-2.177,0.02,-155.4,-14.9,2.177,0.861,-1.154,0.314,0
25.59,0.0,0.0,-0.98,-0.888,59.1,-15.0,0.98,0.387,-0.992,-0.283,0
25.692,0.0,0.0,-0.98,-0.443,-133.5,-15.1,0.98,0.387,-0.83,-0.0,0
25.794,0.0,0.0,-0.98,-0.281,-105.5,-15.2,0.98,0.387,-0.668,0.0,0
25.896,0.0,0.0,0.0,-0.899,-92.5,-15.2,0.0,0.0,-0.668,-0.231,0
25.99,0.0,0.0,-1.061,0.185,-134.1,-15.3,1.061,0.419,-0.506,0.272,0
26.091,0.0,0.0,0.0,-0.76,83.3,-15.3,0.0,0.0,-0.506,-0.254,0
26.193,0.0,0.0,-0.982,0.276,-126.2,-15.4,0.982,0.388,-0.344,0.232,0
26.295,0.0,0.0,0.0,-0.576,92.1,-15.4,0.0,0.0,-0.344,-0.232,0
26.387,0.0,0.0,0.0,-0.344,-114.8,-15.4,0.0,0.0,-0.344,-0.0,0
26.489,0.0,0.0,-0.982,0.438,-97.9,-15.5,0.982,0.388,-0.182,0.232,0
26.591,0.0,0.0,0.0,-0.413,105.2,-15.5,0.0,0.0,-0.182,-0.231,0
26.694,0.0,0.0,0.0,-0.182,-103.3,-15.5,0.0,0.0,-0.182,-0.0,0
